date,pc1,STOXX50,MP_pm,CBI_pm,MP_median,CBI_median
2002-05-02,0.0478405,-0.253706095368855,0.0478405,0,0.03213165,0.01570885
2002-06-06,0.00566455,-0.282230683628271,0.00566455,0,0.01196689,-0.00630234
2002-07-04,-0.00803718,-0.23717285198952,-0,-0.00803718,0.0036577,-0.01169488
2002-08-01,0.00240145,-0.526377316919646,0.00240145,0,0.01823734,-0.01583589
2002-09-12,-0.02400196,-0.880993008893327,-0,-0.02400196,0.01651305,-0.04051501
2002-10-10,0.03150007,-0.184623307066101,0.03150007,0,0.02172551,0.00977456
2002-11-07,0.02896107,-1.6045496113783,0.02896107,0,0.06641305,-0.03745198
2002-12-05,-0.04457991,-0.891277315403283,-0,-0.04457991,0.00655694,-0.05113685
2003-01-09,0.02486355,1.23744907061862,0,0.02486355,-0.02761924,0.05248279
2003-02-06,0.02066326,-1.40471361424188,0.02066326,0,0.05579629,-0.03513303
2003-03-06,0.04508707,-1.38558258236667,0.04508707,0,0.06738901,-0.02230194
2003-04-03,0.02117699,-0.236794942893681,0.02117699,0,0.01825255,0.00292444
2003-05-08,0.03920849,-1.12156216574055,0.03920849,0,0.05590449,-0.016696
2003-06-05,-0.05690618,-0.937799933318395,-0,-0.05690618,0.00189954,-0.05880572
2003-07-10,0.00780828,0.256539962673496,0,0.00780828,-0.00439898,0.01220726
2003-07-31,0.00666567,-0.0839478119953441,0.00666567,0,0.00604987,0.0006158
2003-09-04,-0.00494243,-0.151109047456011,-0,-0.00494243,0.00241955,-0.00736198
2003-10-02,0.01452255,-0.77918704616744,0.01452255,0,0.03248028,-0.01795773
2003-11-06,0.00457986,0.101156847360606,0,0.00457986,-0.00098409,0.00556395
2003-12-04,-0.00939012,-0.46528059302382,-0,-0.00939012,0.01036411,-0.01975423
2004-01-08,-0.00570664,0.322019162705267,-0.00570664,-0,-0.01327572,0.00756908
2004-02-05,-0.00845399,-0.0822140681755457,-0,-0.00845399,-0.00156607,-0.00688792
2004-03-04,0.04014571,0.246645374901266,0,0.04014571,0.01208998,0.02805573
2004-04-01,0.07443929,-0.37845870785036,0.07443929,0,0.04946876,0.02497053
2004-05-06,0.01084348,-0.375669422951397,0.01084348,0,0.01758058,-0.0067371
2004-06-03,-0.01067503,0.163673965777633,-0.01067503,-0,-0.01063495,-4.008e-05
2004-07-01,0.00050286,-0.26212149850684,0.00050286,0,0.0087352,-0.00823234
2004-08-05,0.00076218,0.0559026346179437,0,0.00076218,-0.00142824,0.00219042
2004-09-02,0.01231042,-0.162259395543973,0.01231042,0,0.01140686,0.00090356
2004-10-07,-0.01198748,-0.0609701318114553,-0,-0.01198748,-0.00402039,-0.00796709
2004-11-04,-0.00552385,-0.0772547901275012,-0,-0.00552385,-0.00026151,-0.00526234
